Samples,profile_id,latitude,longitude,BD (g/cm3),SOC (g/kg),SOCD (kg/m2),upper_dept,lower_dept,Depth,DEM,NDVI,MAT,MAP,PET,AI,pH,Sand,Silt,Clay,CLCD,SOCD__meth,References,Year
1,1,31.48630556,118.5140278,1.15,18.16,2.92,0,14,7,9.36 ,0.45 ,15.91 ,93.60 ,1259.87 ,0.89 ,6.25 ,41.55 ,34.27 ,62.51 ,1,Measurement,"Liu et al., 2022",2014
2,1,31.48630556,118.5140278,1.33,14.44,1.54,14,22,18,9.36 ,0.45 ,15.91 ,93.60 ,1259.87 ,0.89 ,6.43 ,39.79 ,31.51 ,64.32 ,1,Measurement,"Liu et al., 2022",2014
3,1,31.48630556,118.5140278,1.53,3.88,2.55,22,65,43.5,9.36 ,0.45 ,15.91 ,93.60 ,1259.87 ,0.89 ,6.72 ,42.50 ,26.63 ,67.25 ,1,Measurement,"Liu et al., 2022",2014
4,1,31.48630556,118.5140278,1.23,10.61,4.96,65,103,84,9.36 ,0.45 ,15.91 ,93.60 ,1259.87 ,0.89 ,6.81 ,37.68 ,30.09 ,68.10 ,1,Measurement,"Liu et al., 2022",2014
5,2,31.00688889,116.9087222,1.24,25.23,5.32,0,17,8.5,46.20 ,0.47 ,16.36 ,121.10 ,1289.22 ,1.13 ,6.06 ,48.55 ,29.42 ,60.60 ,1,Measurement,"Liu et al., 2022",2014
6,2,31.00688889,116.9087222,1.44,17.92,2.06,17,25,21,46.20 ,0.47 ,16.36 ,121.10 ,1289.22 ,1.13 ,6.18 ,47.58 ,28.04 ,61.83 ,1,Measurement,"Liu et al., 2022",2014
7,2,31.00688889,116.9087222,1.43,15.31,6.57,25,55,40,46.20 ,0.47 ,16.36 ,121.10 ,1289.22 ,1.13 ,6.19 ,46.12 ,27.20 ,61.87 ,1,Measurement,"Liu et al., 2022",2014
8,2,31.00688889,116.9087222,1.57,3.53,3.6,55,120,87.5,46.20 ,0.47 ,16.36 ,121.10 ,1289.22 ,1.13 ,6.33 ,43.18 ,28.62 ,63.25 ,1,Measurement,"Liu et al., 2022",2014
9,3,31.50036111,116.8475278,0.58,16.65,1.64,0,17,8.5,23.36 ,0.64 ,16.05 ,102.29 ,1293.45 ,0.95 ,5.63 ,34.41 ,38.84 ,56.31 ,1,Measurement,"Liu et al., 2022",2014
10,3,31.50036111,116.8475278,1.25,10.73,1.07,17,25,21,23.36 ,0.64 ,16.05 ,102.29 ,1293.45 ,0.95 ,6.00 ,33.67 ,36.87 ,60.03 ,1,Measurement,"Liu et al., 2022",2014
11,3,31.50036111,116.8475278,1.51,7.02,2.44,25,48,36.5,23.36 ,0.64 ,16.05 ,102.29 ,1293.45 ,0.95 ,6.35 ,31.47 ,35.46 ,63.50 ,1,Measurement,"Liu et al., 2022",2014
12,3,31.50036111,116.8475278,1.53,2.58,2.85,48,120,84,23.36 ,0.64 ,16.05 ,102.29 ,1293.45 ,0.95 ,6.63 ,31.76 ,35.25 ,66.31 ,1,Measurement,"Liu et al., 2022",2014
13,4,30.15447222,118.4911667,0.9,21.2,2.48,0,13,6.5,278.45 ,0.66 ,15.33 ,126.95 ,1166.00 ,1.31 ,6.12 ,42.32 ,37.16 ,61.17 ,5,Measurement,"Liu et al., 2022",2014
14,4,30.15447222,118.4911667,1.24,16.48,1.43,13,20,16.5,278.45 ,0.66 ,15.33 ,126.95 ,1166.00 ,1.31 ,6.15 ,42.35 ,35.62 ,61.46 ,5,Measurement,"Liu et al., 2022",2014
15,4,30.15447222,118.4911667,1.29,14.87,2.88,20,35,27.5,278.45 ,0.66 ,15.33 ,126.95 ,1166.00 ,1.31 ,6.26 ,43.68 ,33.58 ,62.55 ,5,Measurement,"Liu et al., 2022",2014
16,4,30.15447222,118.4911667,1.43,5.74,1.23,35,50,42.5,278.45 ,0.66 ,15.33 ,126.95 ,1166.00 ,1.31 ,6.30 ,48.55 ,28.63 ,63.00 ,5,Measurement,"Liu et al., 2022",2014
17,4,30.15447222,118.4911667,1.32,2.28,2.11,50,120,85,278.45 ,0.66 ,15.33 ,126.95 ,1166.00 ,1.31 ,6.35 ,51.01 ,25.73 ,63.48 ,5,Measurement,"Liu et al., 2022",2014
18,5,30.41438889,116.2570556,1.18,14.97,3.18,0,18,9,39.12 ,0.50 ,16.87 ,120.50 ,1335.00 ,1.08 ,6.43 ,47.02 ,31.10 ,64.31 ,2,Measurement,"Liu et al., 2022",2014
19,5,30.41438889,116.2570556,1.41,0.99,0.14,18,28,23,39.12 ,0.50 ,16.87 ,120.50 ,1335.00 ,1.08 ,6.56 ,44.67 ,30.16 ,65.60 ,2,Measurement,"Liu et al., 2022",2014
20,5,30.41438889,116.2570556,1.63,0.64,0.1,28,38,33,39.12 ,0.50 ,16.87 ,120.50 ,1335.00 ,1.08 ,6.66 ,46.33 ,29.04 ,66.62 ,2,Measurement,"Liu et al., 2022",2014
21,5,30.41438889,116.2570556,1.63,1.33,0.48,38,60,49,39.12 ,0.50 ,16.87 ,120.50 ,1335.00 ,1.08 ,6.79 ,49.70 ,28.79 ,67.92 ,2,Measurement,"Liu et al., 2022",2014
22,5,30.41438889,116.2570556,1.6,0.12,0.02,60,73,66.5,39.12 ,0.50 ,16.87 ,120.50 ,1335.00 ,1.08 ,6.85 ,46.86 ,31.68 ,68.52 ,2,Measurement,"Liu et al., 2022",2014
23,5,30.41438889,116.2570556,1.63,2.55,1.96,73,120,96.5,39.12 ,0.50 ,16.87 ,120.50 ,1335.00 ,1.08 ,6.90 ,40.49 ,35.75 ,68.98 ,2,Measurement,"Liu et al., 2022",2014
24,6,31.27394444,118.26525,1.01,27.49,3.89,0,14,7,10.00 ,0.55 ,16.16 ,99.61 ,1260.19 ,0.95 ,6.41 ,32.25 ,40.56 ,64.07 ,2,Measurement,"Liu et al., 2022",2014
25,6,31.27394444,118.26525,1.13,23.38,2.38,14,23,18.5,10.00 ,0.55 ,16.16 ,99.61 ,1260.19 ,0.95 ,6.73 ,32.68 ,38.09 ,67.33 ,2,Measurement,"Liu et al., 2022",2014
26,6,31.27394444,118.26525,1.2,15.26,4.58,23,48,35.5,10.00 ,0.55 ,16.16 ,99.61 ,1260.19 ,0.95 ,7.12 ,31.78 ,36.09 ,71.19 ,2,Measurement,"Liu et al., 2022",2014
27,6,31.27394444,118.26525,1.29,19.37,10.5,48,90,69,10.00 ,0.55 ,16.16 ,99.61 ,1260.19 ,0.95 ,7.34 ,30.39 ,36.29 ,73.38 ,2,Measurement,"Liu et al., 2022",2014
28,6,31.27394444,118.26525,1.51,7.25,2.19,90,110,100,10.00 ,0.55 ,16.16 ,99.61 ,1260.19 ,0.95 ,7.43 ,30.67 ,36.79 ,74.28 ,2,Measurement,"Liu et al., 2022",2014
29,7,31.65711111,117.7692778,1.1,21,3.46,0,15,7.5,8.38 ,0.59 ,15.75 ,93.33 ,1267.05 ,0.88 ,6.64 ,29.43 ,47.36 ,66.44 ,1,Measurement,"Liu et al., 2022",2014
30,7,31.65711111,117.7692778,1.31,14.73,1.35,15,22,18.5,8.38 ,0.59 ,15.75 ,93.33 ,1267.05 ,0.88 ,6.85 ,30.54 ,38.13 ,68.48 ,1,Measurement,"Liu et al., 2022",2014
31,7,31.65711111,117.7692778,1.35,3.76,1.42,22,50,36,8.38 ,0.59 ,15.75 ,93.33 ,1267.05 ,0.88 ,7.08 ,32.85 ,29.28 ,70.84 ,1,Measurement,"Liu et al., 2022",2014
32,7,31.65711111,117.7692778,1.49,1.79,0.45,50,67,58.5,8.38 ,0.59 ,15.75 ,93.33 ,1267.05 ,0.88 ,7.20 ,34.14 ,29.04 ,72.05 ,1,Measurement,"Liu et al., 2022",2014
